Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%),LE_calculated,LE,HLE_Gap
2011 to 2013,England,Local Areas,E06000019,"Herefordshire, County of",Female,2,<1,1,67.5,65.6,69.5,81,83.33333333333333,83.33333333333333,15.833333333333329
2011 to 2013,England,Local Areas,E06000020,Telford and Wrekin,Male,1,<1,1,58.9,56.6,61.2,75,78.53333333333333,78.53333333333333,19.633333333333333
2011 to 2013,England,Local Areas,E06000020,Telford and Wrekin,Female,2,<1,1,59.1,56.6,61.5,72,82.08333333333334,82.08333333333334,22.98333333333334
2011 to 2013,England,Local Areas,E06000021,Stoke-on-Trent,Male,1,<1,1,58.3,56.0,60.7,76,76.71052631578947,76.71052631578947,18.41052631578947
2011 to 2013,England,Local Areas,E06000021,Stoke-on-Trent,Female,2,<1,1,58.9,56.3,61.4,73,80.68493150684931,80.68493150684931,21.78493150684931
2011 to 2013,England,Local Areas,E06000022,Bath and North East Somerset,Male,1,<1,1,66.9,64.8,68.9,83,80.60240963855422,80.60240963855422,13.702409638554215
2011 to 2013,England,Local Areas,E06000022,Bath and North East Somerset,Female,2,<1,1,67.9,65.7,70.2,81,83.82716049382717,83.82716049382717,15.92716049382716
2011 to 2013,England,Local Areas,E06000023,"Bristol, City of",Male,1,<1,1,62.5,60.1,65.0,80,78.125,78.125,15.625
2011 to 2013,England,Local Areas,E06000023,"Bristol, City of",Female,2,<1,1,63.7,61.1,66.3,77,82.72727272727273,82.72727272727273,19.02727272727273
2011 to 2013,England,Local Areas,E06000024,North Somerset,Male,1,<1,1,65.2,63.0,67.4,81,80.49382716049382,80.49382716049382,15.29382716049382
2011 to 2013,England,Local Areas,E06000024,North Somerset,Female,2,<1,1,66.0,63.5,68.4,79,83.54430379746834,83.54430379746834,17.544303797468345
2011 to 2013,England,Local Areas,E06000025,South Gloucestershire,Male,1,<1,1,66.8,64.6,69.0,82,81.46341463414635,81.46341463414635,14.66341463414635
2011 to 2013,England,Local Areas,E06000025,South Gloucestershire,Female,2,<1,1,67.4,64.8,69.9,80,84.25,84.25,16.849999999999994
2011 to 2013,England,Local Areas,E06000026,Plymouth,Male,1,<1,1,59.0,56.6,61.4,76,77.63157894736842,77.63157894736842,18.631578947368425
2011 to 2013,England,Local Areas,E06000026,Plymouth,Female,2,<1,1,59.6,57.1,62.0,72,82.77777777777779,82.77777777777779,23.177777777777784
2011 to 2013,England,Local Areas,E06000027,Torbay,Male,1,<1,1,62.8,60.8,64.9,79,79.49367088607595,79.49367088607595,16.69367088607595
2011 to 2013,England,Local Areas,E06000027,Torbay,Female,2,<1,1,63.4,61.1,65.7,77,82.33766233766234,82.33766233766234,18.93766233766234
2011 to 2013,England,Local Areas,E06000030,Swindon,Male,1,<1,1,62.4,59.7,65.0,79,78.9873417721519,78.9873417721519,16.587341772151895
2011 to 2013,England,Local Areas,E06000030,Swindon,Female,2,<1,1,62.8,60.2,65.4,76,82.63157894736841,82.63157894736841,19.831578947368413
2011 to 2013,England,Local Areas,E06000031,Peterborough,Male,1,<1,1,59.8,57.3,62.2,77,77.66233766233766,77.66233766233766,17.862337662337666
2011 to 2013,England,Local Areas,E06000031,Peterborough,Female,2,<1,1,60.5,57.9,63.1,73,82.87671232876713,82.87671232876713,22.376712328767127
2011 to 2013,England,Local Areas,E06000032,Luton,Male,1,<1,1,58.8,56.5,61.1,75,78.39999999999999,78.39999999999999,19.599999999999994
2011 to 2013,England,Local Areas,E06000032,Luton,Female,2,<1,1,59.3,56.8,61.8,72,82.36111111111111,82.36111111111111,23.061111111111117
2011 to 2013,England,Local Areas,E06000033,Southend-on-Sea,Male,1,<1,1,63.2,61.0,65.4,79,80.0,80.0,16.799999999999997
2011 to 2013,England,Local Areas,E06000033,Southend-on-Sea,Female,2,<1,1,63.7,61.4,66.0,77,82.72727272727273,82.72727272727273,19.02727272727273
2011 to 2013,England,Local Areas,E06000034,Thurrock,Male,1,<1,1,63.9,61.7,66.2,81,78.88888888888889,78.88888888888889,14.988888888888887
2011 to 2013,England,Local Areas,E06000034,Thurrock,Female,2,<1,1,64.7,62.4,67.0,78,82.94871794871796,82.94871794871796,18.248717948717953
2011 to 2013,England,Local Areas,E06000035,Medway,Male,1,<1,1,61.1,58.8,63.3,78,78.33333333333333,78.33333333333333,17.233333333333327
2011 to 2013,England,Local Areas,E06000035,Medway,Female,2,<1,1,62.1,59.8,64.5,75,82.8,82.8,20.699999999999996
